brand,logo_filename
ALFA ROMEO,ALFA_ROMEO.jpg
AUDI,AUDI.jpg
AUTOBIANCHI,AUTOBIANCHI.jpg
BMW,BMW.jpg
BYD,BYD.jpg
CHANGAN,CHANGAN.jpg
CHERY,CHERY.jpg
CHRYSLER,CHRYSLER.jpg
CITROEN,CITROEN.jpg
CUPRA,CUPRA.jpg
DACIA,DACIA.jpg
DAEWOO - CHEVROLET,DAEWOO-CHEVROLET.jpg
DAIHATSU,DAIHATSU.jpg
DODGE,DODGE.jpg
DR,DR.jpg
DS,DS.jpg
FIAT,FIAT.jpg
FORD,FORD.jpg
GAC,GAC.jpg
GEELY,GEELY.jpg
HONDA,HONDA.jpg
HYUNDAI,HYUNDAI.jpg
INFINITI,INFINITI.jpg
ISUZU,ISUZU.jpg
IVECO,IVECO.jpg
JAECOO,JAECOO.jpg
JAGUAR,JAGUAR.jpg
JEEP,JEEP.jpg
KGM,KGM.jpg
KIA,KIA.jpg
LADA,LADA.jpg
LANCIA,LANCIA.jpg
LAND ROVER,LAND_ROVER.jpg
LEAPMOTOR,LEAPMOTOR.jpg
LEXUS,LEXUS.jpg
LOTUS,LOTUS.jpg
LYNK&CO,LYNK_CO.jpg
MAN,MAN.jpg
MASERATI,MASERATI.jpg
MAZDA,MAZDA.jpg
MERCEDES,MERCEDES.jpg
MG,MG.jpg
MINI,MINI.jpg
MITSUBISHI,MITSUBISHI.jpg
NISSAN,NISSAN.jpg
OMODA,OMODA.jpg
OPEL,OPEL.jpg
PEUGEOT,PEUGEOT.jpg
PIAGGIO,PIAGGIO.jpg
PORSCHE,PORSCHE.jpg
RENAULT,RENAULT.jpg
ROVER,ROVER.jpg
SAAB,SAAB.jpg
SEAT,SEAT.jpg
SKODA,SKODA.jpg
SMART,SMART.jpg
SSANGYONG,SSANGYONG.jpg
SUBARU,SUBARU.jpg
SUZUKI,SUZUKI.jpg
TESLA,TESLA.jpg
TOYOTA,TOYOTA.jpg
VOYAH,VOYAH.jpg
VOLVO,VOLVO.jpg
VW,VW.jpg
XEV,XEV.jpg
XPENG,XPENG.jpg
ZASTAVA,ZASTAVA.jpg
ZEEKR,ZEEKR.jpg
UNIVERSAL ITEMS,UNIVERSAL_ITEMS.jpg
