GenArtNo;genart_en
1;Starter Battery
2;Starter
4;Alternator
5;Joint Kit, drive shaft
7;Oil Filter
8;Air Filter
9;Fuel Filter
10;V-Belt
12;Hydraulic Pump, steering
13;Drive Shaft
14;Diffusing Lens, headlight
15;Diffusing Lens, searchlight
16;Diffusing Lens, high beam headlight
17;Exhaust Pipe
19;Eyelid, front fog light
20;Cover, bumper
21;Flap, tow hook
22;Cover, plenum chamber
23;Cover, exterior mirror
25;Cap, headlight
26;Exhaust System
27;Gasket, exhaust manifold
28;Gasket Set, exhaust manifold
29;Valve, charcoal filter (tank ventilation)
31;Idle Control Valve, carburettor
32;Heat Shield, trailer hitch
33;Valve, fuel supply system
34;Kingpin
35;Adaptor Kit, speed warning system
36;Ammeter
37;Mounting Kit, shock absorber
38;Pedestal, trailer hitch
39;Trailer Hitch
40;Gasket, intake/exhaust manifold
41;Gasket Set, intake/exhaust manifold
42;Gasket, intake manifold
43;Gasket Set, intake manifold
44;Gasket, intake manifold housing
45;Base Plate, trailer hitch
46;Aerial
47;Central Slave Cylinder, clutch
48;Clutch Release Bearing
49;Release Plate, clutch
50;Exterior Mirror
51;Inner Tie Rod
52;Battery Holder
53;Control Unit, accident data recorder
54;Bolt, brake disc
55;Cap, brake fluid reservoir
56;Cap, coolant tank
57;Cap, washer fluid reservoir
60;Eyelid, headlight
61;Flasher Unit
62;Direction Indicator
63;Housing, direction indicator
64;Direction Indicator Grille
66;Body Floor
68;Boat Carrier, roof rack
69;Boat Holder, rear rack
70;Brake Shoe Set
71;Brake Fluid
73;Brake Force Regulator
74;Brake Booster
76;Stop Light
77;Housing, stop light
78;Brake Caliper
79;Brake Caliper Axle Kit
81;Brake Caliper Bracket Set
82;Brake Disc
83;Brake Hose
84;Diffusing Lens, worklight
85;Diffusing Lens, front fog light
86;Insert, worklight
87;Insert, high beam headlight
88;Insert, headlight
89;Insert, front fog light
90;Insert, searchlight
91;Lens, direction indicator
92;Lens, stop light
93;Lens, tail light assembly
94;Lens, licence plate light
95;Lens, rear fog light
96;Lens, reverse light
97;Lens, tail light
98;Lens, rotating beacon
99;Base, worklight
100;Bracket, high beam headlight
101;Bracket, headlight
102;Holder, front fog light
103;Base, searchlight
104;Bulb, worklight
105;Bulb, direction indicator
106;Bulb, high beam headlight
107;Bulb, headlight
108;Bulb, front fog light
109;Bulb, searchlight
110;Bulb, stop/tail light
111;Bulb, stop light
112;Bulb, licence plate light
113;Bulb, rear fog light
114;Bulb, reverse light
115;Bulb, tail light
116;Bulb, rotating beacon
117;Bulb, interior light
118;Bulb, door light
119;Bulb, boot light
120;Bulb, engine bay light
121;Bulb, instrument lighting
122;Holding Bracket, brake hose
123;Brake Drum
124;Cable Pull, parking brake
125;Cable Pull, service brake
126;Roof Box
127;Roof Rack
128;Gasket, cylinder liner
130;Shock Absorber, steering
131;Gasket, oil cooler
132;Gasket, oil pump
133;Seal, oil filter
134;Seal, oil strainer
135;Seal Ring, oil drain plug
136;Seal Ring, oil pressure switch
138;Gasket, exhaust pipe
139;Seal, thermostat
141;Gasket, charger
143;Gasket, fuel pump
144;Seal, fuel filter
146;Oil Seal, manual transmission
147;Oil Seal, automatic transmission
148;Gasket, fuel sender unit
149;Gasket, fuel filler neck
150;Gasket Kit, crankcase
151;Gasket Set, cylinder liner
152;Gasket Set, charger
155;Clamping Ring, release plate
156;Dual Torsion Bar Linkage
157;Revolution Counter
158;Throttle Body
159;Gauge, boost pressure
160;Gauge, oil pressure
162;Sensor, oil pressure
163;Regulating Valve, oil pressure
164;Regulating Valve, clutch master cylinder
165;Pressure Valve, drum brake
166;Pressure Modulator, brake pressure
167;Brake Pressure Regulator
168;Fuel Pressure Regulator
170;Pressure Converter
171;Washer Nozzle Pipe
176;Ball Stud, tie rod
177;Rocker Panel
178;Door Entry Light
179;Electric Kit, trailer hitch
181;Exhaust Tip
183;Expansion Valve, air conditioning
184;Quick Repair Service, drive shaft
185;Quick Repair Service, drive shaft joint
186;Bicycle Holder, rear rack
187;Bicycle Holder, roof rack
188;Suspension Spring
189;Suspension Set, springs
190;Suspension Kit, springs/shock absorbers
191;Bellow, steering
193;Bellow, drive shaft
194;Bellow Kit, drive shaft
195;Bellow Kit, steering
196;Trumpet Horn
198;Suspension Strut
200;Electric Motor, window regulator
201;Remote Control, central locking
202;High Beam Headlight
203;Windscreen Frame
204;Seal Ring, exhaust pipe
205;Gasket, carburettor flange
208;Radiator Support
209;Guide Arm, window cleaning
213;Guide Sleeve, clutch
214;Floor Mat
215;Floor Mat Set
216;Shift Console, automatic transmission
217;Vapour Separator, carburettor
219;Gas Spring, boot/cargo area
220;Gas Spring, foldaway table
221;Gas Spring, glove compartment
222;Gas Spring, centre console
223;Gas Spring, telephone console
224;Gas Spring, tool cabinet flap
225;Gas Spring, bunk
226;Gas Spring, gull-wing door
227;Gas Spring, radiator emblem
228;Gas Spring, pop-up headlight
229;Gas Spring, foot-operated parking brake
230;Gas Spring, roll bar
231;Gas Spring, spare-wheel carrier
232;Gas Spring, overrun brake
234;Master Cylinder, clutch
236;Joint, drive shaft
237;Joint Fork, tie rod
238;Luggage Box, roof rack
239;Luggage Box, rear rack
240;Cruise Control
241;Speeding Alarm
242;Wiper Gear, window cleaning
243;Glow Plug
244;Ventilation Grille, bumper
245;Support, radiator grille
246;Steering Column Coupling
247;Mounting, engine
248;Mounting, automatic transmission
249;Mounting, manual transmission
251;Mounting, control/trailing arm
252;Rubber Buffer, muffler
253;Rubber Mount, muffler
254;Clip, bumper
255;Spring, brake shoes
256;Spring, disc brake pad
257;Supporting Frame, window cleaning system
258;Brake Master Cylinder
259;Headlight
261;Clutch Pressure Plate
262;Clutch Disc
264;Clutch Booster
265;Main Shaft, manual transmission
266;Ball Head, gearshift linkage
267;Control Unit, air suspension
268;Sensor, pneumatic suspension level
269;Directional Control Valve Block, air suspension
271;Buffer, engine mounting
273;Control/Trailing Arm, wheel suspension
274;Stabiliser Bar, suspension
276;Repair Kit, brake master cylinder
277;Wheel Brake Cylinder
278;Repair Kit, wheel brake cylinder
281;Brake Shoe
282;Control Unit, braking/driving dynamics
283;Pressure Regulator, drive dynamics
284;Tie Rod
285;Centre Rod Assembly
286;Steering Gear
287;Control Unit, traction control system
288;Alternator Regulator
289;Front Fog Light
290;Tail Light
291;Rear Fog Light
292;Reverse Light
293;Licence Plate Light
294;End Outline Marker Light
295;Wiper Motor
297;Signal Horn
298;Wiper Blade
299;Wiper Blade Rubber
300;Wiper Linkage
301;Wiper Arm, window cleaning
302;Wiper Bearing
303;Washer Fluid Jet, window cleaning
304;V-Belt Set
305;V-ribbed Belt
306;Timing Belt
307;Timing Belt Kit
308;Tensioner Pulley, timing belt
310;Tensioner Pulley, V-ribbed belt
312;Deflection/Guide Pulley, V-ribbed belt
313;Deflection Pulley/Guide Pulley, timing belt
314;Gasket, water pump
315;Gasket Set, water pump
316;Thermostat, coolant
