GenArtNo;genart_en;standardised_article_description;assembly_groups;purpose_of_use;Delete
1;Starter Battery;Battery;Starter System;NULL;0
2;Starter;Starter;Starter System;NULL;0
4;Alternator;Alternator;Alternator;NULL;0
5;Joint Kit, drive shaft;Joint Kit;Wheel Drive;Drive Shaft;0
7;Oil Filter;Filter;Lubrication;Engine Oil;0
8;Air Filter;Filter;Air Supply;Air;0
9;Fuel Filter;Filter;Fuel Supply System;Fuel;0
10;V-Belt;Belt;Belt Drive;V-Belt;0
12;Hydraulic Pump, steering;Pump;Steering;Hydraulics;0
13;Drive Shaft;Shaft;Wheel Drive;Drive Shaft;0
14;Diffusing Lens, headlight;Diffusing Lens;Lights;Headlight;0
15;Diffusing Lens, searchlight;Diffusing Lens;Lights;Searchlight;0
16;Diffusing Lens, high beam headlight;Diffusing Lens;Lights;High Beam Headlight;0
17;Exhaust Pipe;Tube;Exhaust System;NULL;0
19;Eyelid, front fog light;Cover;Lights;Front Fog Light;0
20;Cover, bumper;Cover;Body;Bumper;1
21;Flap, tow hook;Lid;Body;Tow Hook;0
22;Cover, plenum chamber;Covering;Body;Plenum Chamber;0
23;Cover, exterior mirror;Covering;Body;Exterior Mirror;0
25;Cap, headlight;Cap;Lights;Headlight;0
26;Exhaust System;Exhaust System;Exhaust System;NULL;0
27;Gasket, exhaust manifold;Gasket/Seal;Cylinder Head;Exhaust Manifold;0
28;Gasket Set, exhaust manifold;Gasket Set;Cylinder Head;Exhaust Manifold;0
29;Valve, charcoal filter (tank ventilation);Valve;Fuel Supply System;Charcoal Filter (tank ventilation);0
31;Idle Control Valve, carburettor;Valve;Carburettor;Idle;0
32;Heat Shield, trailer hitch;Shield;Trailer Hitch;Shielding;0
33;Valve, fuel supply system;Valve;Fuel Supply System;NULL;0
34;Kingpin;Bolt;Wheel Suspension;Steering Knuckle;0
35;Adaptor Kit, speed warning system;Adaptor Kit;Speeding Alarm;NULL;0
36;Ammeter;Gauge;Instruments;Ammeter;0
37;Mounting Kit, shock absorber;Assembly Kit;Suspension/Damping;Shock Absorber;0
38;Pedestal, trailer hitch;Pedestal, trailer hitch;Trailer Hitch;NULL;0
39;Trailer Hitch;Trailer Hitch;Trailer Hitch;NULL;0
40;Gasket, intake/exhaust manifold;Gasket/Seal;Cylinder Head;Intake/Exhaust Manifold;0
41;Gasket Set, intake/exhaust manifold;Gasket Set;Cylinder Head;Intake/Exhaust Manifold;0
42;Gasket, intake manifold;Gasket/Seal;Cylinder Head;Intake Manifold;0
43;Gasket Set, intake manifold;Gasket Set;Cylinder Head;Intake Manifold;0
44;Gasket, intake manifold housing;Gasket/Seal;Air Supply;Intake Manifold Housing;0
45;Base Plate, trailer hitch;Base Plate;Trailer Hitch;NULL;0
46;Aerial;Aerial;Communication/Information Systems;Car Radio;0
47;Central Slave Cylinder, clutch;Central Slave Cylinder;Clutch;NULL;0
48;Clutch Release Bearing;Bearing;Clutch;Clutch Release Bearing;0
49;Release Plate, clutch;Release Plate;Clutch;NULL;0
50;Exterior Mirror;Mirror;Body;Exterior Mirror;0
51;Inner Tie Rod;Joint;Steering;Axle Joint;0
52;Battery Holder;Holder;Body;Battery Holder;0
53;Control Unit, accident data recorder;Control Unit;Communication/Information Systems;Accident Data Recorder;0
54;Bolt, brake disc;Screw;Braking System;Brake Disc;0
55;Cap, brake fluid reservoir;Closure;Braking System;Brake Fluid Reservoir;0
56;Cap, coolant tank;Closure;Cooling System;Coolant Tank;0
57;Cap, washer fluid reservoir;Closure;Window Cleaning;Washer Fluid Reservoir;0
60;Eyelid, headlight;Cover;Lights;Headlight;0
61;Flasher Unit;Relay;Signal System;Flasher Unit;0
62;Direction Indicator;Light;Signal System;Direction Indicator;0
63;Housing, direction indicator;Housing;Signal System;Direction Indicator;0
64;Direction Indicator Grille;Grille;Signal System;Direction Indicator;0
66;Body Floor;Floor Panel;Body;NULL;0
68;Boat Carrier, roof rack;Boat Rack;Carriers;Roof Rack;0
69;Boat Holder, rear rack;Boat Rack;Carriers;Rear Rack;0
70;Brake Shoe Set;Brake Shoe Set;Braking System;NULL;0
71;Brake Fluid;Oil;Chemical Products;NULL;0
73;Brake Force Regulator;Regulator;Braking System;Brake Force Regulator;0
74;Brake Booster;Booster;Braking System;Brake Booster;0
76;Stop Light;Light;Signal System;Stop Light;0
77;Housing, stop light;Housing;Signal System;Stop Light;0
78;Brake Caliper;Brake Caliper;Braking System;NULL;0
79;Brake Caliper Axle Kit;Axle Kit;Braking System;Brake Caliper;0
81;Brake Caliper Bracket Set;Holder Set;Braking System;Brake Caliper;0
82;Brake Disc;Brake Disc;Braking System;NULL;0
83;Brake Hose;Hose Line;Braking System;Brake Hydraulics;0
84;Diffusing Lens, worklight;Diffusing Lens;Lights;Worklight;0
85;Diffusing Lens, front fog light;Diffusing Lens;Lights;Front Fog Light;0
86;Insert, worklight;Insert;Lights;Worklight;0
87;Insert, high beam headlight;Insert;Lights;High Beam Headlight;0
88;Insert, headlight;Insert;Lights;Headlight;0
89;Insert, front fog light;Insert;Lights;Front Fog Light;0
90;Insert, searchlight;Insert;Lights;Searchlight;0
91;Lens, direction indicator;Lens;Signal System;Direction Indicator;0
92;Lens, stop light;Lens;Signal System;Stop Light;0
93;Lens, tail light assembly;Lens;Lights;Tail Light Assembly;0
94;Lens, licence plate light;Lens;Lights;Licence Plate Light;0
95;Lens, rear fog light;Lens;Lights;Rear Fog Light;0
96;Lens, reverse light;Lens;Lights;Reverse Light;0
97;Lens, tail light;Lens;Lights;Tail Light;0
98;Lens, rotating beacon;Lens;Signal System;Rotating Beacon;0
99;Base, worklight;Holder;Lights;Worklight;0
100;Bracket, high beam headlight;Holder;Lights;High Beam Headlight;0
101;Bracket, headlight;Holder;Lights;Headlight;0
102;Holder, front fog light;Holder;Lights;Front Fog Light;0
103;Base, searchlight;Holder;Lights;Searchlight;0
104;Bulb, worklight;Bulb;Lights;Worklight;0
105;Bulb, direction indicator;Bulb;Signal System;Direction Indicator;0
106;Bulb, high beam headlight;Bulb;Lights;High Beam Headlight;0
107;Bulb, headlight;Bulb;Lights;Headlight;0
108;Bulb, front fog light;Bulb;Lights;Front Fog Light;0
109;Bulb, searchlight;Bulb;Lights;Searchlight;0
110;Bulb, stop/tail light;Bulb;Lights;Brake-/Stoplight;0
111;Bulb, stop light;Bulb;Signal System;Stop Light;0
112;Bulb, licence plate light;Bulb;Lights;Licence Plate Light;0
113;Bulb, rear fog light;Bulb;Lights;Rear Fog Light;0
114;Bulb, reverse light;Bulb;Lights;Reverse Light;0
115;Bulb, tail light;Bulb;Lights;Tail Light;0
116;Bulb, rotating beacon;Bulb;Signal System;Rotating Beacon;0
117;Bulb, interior light;Bulb;Lights;Interior Light;0
118;Bulb, door light;Bulb;Lights;Door Light;0
119;Bulb, boot light;Bulb;Lights;Boot Light;0
120;Bulb, engine bay light;Bulb;Lights;Light, engine bay;0
121;Bulb, instrument lighting;Bulb;Lights;Instrument Lighting;0
122;Holding Bracket, brake hose;Holder;Braking System;Brake Hose;0
123;Brake Drum;Brake Drum;Braking System;NULL;0
124;Cable Pull, parking brake;Cable Pull;Braking System;Parking Brake;0
125;Cable Pull, service brake;Cable Pull;Braking System;Service Brake;0
126;Roof Box;Roof Box;Carriers;NULL;0
127;Roof Rack;Rack;Carriers;Roof Rack;0
128;Gasket, cylinder liner;Gasket/Seal;Crankcase;Cylinder Liner;0
130;Shock Absorber, steering;Damper;Steering;NULL;0
131;Gasket, oil cooler;Gasket/Seal;Lubrication;Oil Cooler;0
132;Gasket, oil pump;Gasket/Seal;Lubrication;Oil Pump;0
133;Seal, oil filter;Gasket/Seal;Lubrication;Oil Filter;0
134;Seal, oil strainer;Gasket/Seal;Lubrication;Oil Strainer;0
135;Seal Ring, oil drain plug;Seal Ring;Lubrication;Oil Drain Plug;0
136;Seal Ring, oil pressure switch;Seal Ring;Lubrication;Oil Pressure Switch;0
138;Gasket, exhaust pipe;Gasket/Seal;Exhaust System;Exhaust Pipe;0
139;Seal, thermostat;Gasket/Seal;Cooling System;Thermostat;0
141;Gasket, charger;Gasket/Seal;Air Supply;Charger;0
143;Gasket, fuel pump;Gasket/Seal;Fuel Supply System;Fuel Pump;0
144;Seal, fuel filter;Gasket/Seal;Fuel Supply System;Fuel Filter;0
146;Oil Seal, manual transmission;Gasket/Seal;Manual Transmission;NULL;0
147;Oil Seal, automatic transmission;Gasket/Seal;Automatic Transmission;NULL;0
148;Gasket, fuel sender unit;Gasket/Seal;Fuel Supply System;Fuel Sender Unit;0
149;Gasket, fuel filler neck;Gasket/Seal;Fuel Supply System;Fuel Filler Neck;0
150;Gasket Kit, crankcase;Gasket Set;Crankcase;Crankcase;0
151;Gasket Set, cylinder liner;Gasket Set;Crankcase;Cylinder Liner;0
152;Gasket Set, charger;Gasket Set;Air Supply;Charger;0
155;Clamping Ring, release plate;Wire Ring;Clutch;Release Plate;0
156;Dual Torsion Bar Linkage;Linkage;Wheel Suspension;Torsion Bar;0
157;Revolution Counter;Gauge;Instruments;RPM;0
158;Throttle Body;Fitting;Air Supply;Throttle Valve;0
159;Gauge, boost pressure;Gauge;Instruments;Boost Pressure;0
160;Gauge, oil pressure;Gauge;Instruments;Oil Pressure;0
162;Sensor, oil pressure;Sensor;Instruments;Oil Pressure;0
163;Regulating Valve, oil pressure;Valve;Lubrication;Oil Pressure Control;0
164;Regulating Valve, clutch master cylinder;Valve;Clutch;Master Cylinder;0
165;Pressure Valve, drum brake;Valve;Braking System;Pressure Preservation;0
166;Pressure Modulator, brake pressure;Pressure Modulator;Braking System;NULL;0
167;Brake Pressure Regulator;Regulator;Braking System;Brake Pressure;0
