category;parts;side;descr_raw;base_type;carrier;purpose;position;body;material;finish;features;maker;segment;quality;variant;years;engine;dimension;packaging;residual;descr_norm
DOOR HANDLES;85;LE;DOOR HANDLE FRONT OUTER;HANDLE;DOOR;;FRONT OUTER;;;;;;;;;;;;;;HANDLE | DOOR | FRONT OUTER
DOOR HANDLES;66;LE;DOOR HANDLE REAR OUTER;HANDLE;DOOR;;REAR OUTER;;;;;;;;;;;;;;HANDLE | DOOR | REAR OUTER
DOOR HANDLES;61;RI;DOOR HANDLE FRONT OUTER;HANDLE;DOOR;;FRONT OUTER;;;;;;;;;;;;;;HANDLE | DOOR | FRONT OUTER
DOOR HANDLES;55;RI;DOOR HANDLE REAR OUTER;HANDLE;DOOR;;REAR OUTER;;;;;;;;;;;;;;HANDLE | DOOR | REAR OUTER
DOOR HANDLES;49;LE;FRONT DOOR HANDLE OUTER;HANDLE;DOOR;;FRONT OUTER;;;;;;;;;;;;;;HANDLE | DOOR | FRONT OUTER
DOOR HANDLES;43;RI;FRONT DOOR HANDLE OUTER;HANDLE;DOOR;;FRONT OUTER;;;;;;;;;;;;;;HANDLE | DOOR | FRONT OUTER
DOOR HANDLES;38;RI;DOOR HANDLE FRONT/REAR INNER BLACK;HANDLE;DOOR;;FRONT REAR INNER;;;BLACK;;;;;;;;;;;HANDLE | DOOR | FRONT REAR INNER
DOOR HANDLES;38;LE;DOOR HANDLE FRONT/REAR INNER BLACK;HANDLE;DOOR;;FRONT REAR INNER;;;BLACK;;;;;;;;;;;HANDLE | DOOR | FRONT REAR INNER
DOOR HANDLES;36;LE;DOOR HANDLE FRONT INNER BLACK;HANDLE;DOOR;;FRONT INNER;;;BLACK;;;;;;;;;;;HANDLE | DOOR | FRONT INNER
DOOR HANDLES;35;RI;DOOR HANDLE FRONT/REAR INNER;HANDLE;DOOR;;FRONT REAR INNER;;;;;;;;;;;;;;HANDLE | DOOR | FRONT REAR INNER
