rule_id;base_type;carrier;purpose;position;features;genart_id;note
ACC-COVER;COVER;;;;ACC;1508;ACC (Active Cruise Control) радар-сензор капачка
TAILLAMP-COVER;TAIL LAMP&COVER;;;;;2968;Cover, tailgate
TAILLAMP-TRIM;TAIL LAMP&MOULDING;;;;;4910;Trim Cover, tail light
TAILLAMP-FRAME;TAIL LAMP&FRAME;;;;;4910;Trim Cover, tail light
HEADLAMP-FRAME;HEAD LAMP&FRAME;;;;;703;Frame, headlight
HEADLAMP-COVER;HEAD LAMP&COVER;;!WASHER;;;703;Frame, headlight
HEADLAMP-TRIM;HEAD LAMP&MOULDING;;;;;882;
HEADLAMP-RIM;RIM;;;;;882;
GRILLE-CHROME;GRILLE-CHROME;;;;;1512;Chrome grille strip (Trim/Protection Strip)
GRILLE-STRIP;GRILLE&MOULDING;;;;;1512;Trim/Protection Strip, radiator grille
GRILLE-MOULD;GRILLE&MOULDING;;;;;474;
FUSE-BOX;BOX&COVER;;;;;820;Fuse Box cover
HANDBRAKE-SW;SWITCH;;;;HANDBRAKE;5103;Switch, park brake actuation
CRUISE-SW;SWITCH;;;;CRUISE;878;Switch, cruise control
HEATED-REAR-SW;SWITCH;;;REAR;HEATED;2704;Switch, rear window heating
SUNROOF-SW;SWITCH;ROOF;;;;2962;Switch, sunroof
WINREG-MODULE;;;;;WINDOW&MOTOR;2461;Control Unit, window regulator
WIPER-SW-CTRL;SWITCH;WIPER;;;;877;Wiper Switch
TAILGATE-BTN-SW;SWITCH;TAILGATE;;;;5883;Switch, tailgate release
CARGO-AREA-SW;SWITCH;;;;CARGO-AREA;5883;Switch, tailgate release (cargo area)
DOOR-SW-FRONT;SWITCH;DOOR;;FRONT;;1761;Switch, window regulator
DOOR-SW-REAR;SWITCH;DOOR;;REAR;;1761;Switch, window regulator (rear doors)
RADIO-SW;RADIO&SWITCH;;;;;1563;Steering Column Switch
ALARM-SW;SWITCH;;;;ALARM;60535;Contact switch, bonnet
DRIVING-POS-SW;SWITCH;;;;DRIVING&POSITION;6313;Switch, seat adjustment
STARTSTOP;SWITCH;;;;START/STOP;4111;Start/Stop бутон (DOOR SWITCHS OTHER)
PDC-SENSOR;;;;;PARKING&SENSOR;2412;Sensor, park distance control
TRUNK-SW;LID&SWITCH;TRUNK;;;;5883;Switch, tailgate release
CENTRAL-LOCK-SW;SWITCH;;;CENTRAL;LOCKING;864;Switch, door lock system
COLUMN-SW;COLUMN;STEERING;;;;1563;Steering Column Switch
GRILLE-FRAME;GRILLE&FRAME;;;;;474;
GRILLE-BRKT;GRILLE&BRACKET;;;;;245;
GRILLE-REINF;GRILLE&REINFORCEMENT;;;;;245;
LOCK-DOOR;;DOOR;;;LOCK;1361;
LOCK-HOOD;;HOOD;;;LOCK;1365;
LOCK-TRUNK;;TRUNK;;;LOCK;1363;
LOCK-PANEL;;PANEL;;;LOCK;1365;
LOCK-TAILGATE;;TAILGATE;;;LOCK;1362;
PILLAR-MOULD;PILLAR&MOULDING;;;;;1005;Door pillar moulding - не е 971
PILLAR;PILLAR;;;;;971;Roof Pillar
WHEEL-HOUSING;HOUSING;WHEEL;;;;755;Wheelhouse
SIDEWALL-PANEL;PANEL;;;SIDEWALL;;901;Quarter Panel
WINDSCREEN-APRON;WINDSCREEN;WINDSCREEN&APRON;;;;208;Windscreen apron/cowl
WIPER-PANEL;WIPER;PANEL;;;;203;Windscreen Frame
BATTERY-BASE;BATTERY+BASE;;;;;52;Battery Holder
BATTERY-TRAY;BATTERY;;;;;52;Battery Holder
DOOR-SKIN;DOOR;;;;SKIN;530;Door, body (repair section / door skin)
TAILGATE-SKIN;TAILGATE;;;;SKIN;390;Tailgate (repair section / tailgate skin)
GLASS-TAILGATE-SKIN;GLASS;TAILGATE;;;SKIN;390;Tailgate skin section below glass (base=GLASS)
BODY-SKIN;BODY;;;;SKIN;901;Sidewall panel skin с BODY base от (SHORT TAIL BODY)
WALL-SIDEWALL;;;;SIDEWALL;;901;REAR SIDEWALL - base липсва, position=SIDEWALL
SIDE-PANEL-SIDE;PANEL;;;SIDE;;901;Side panel (quarter panel), position=SIDE
SKIN;;;;;SKIN;;
CHASSIS;CHASSIS;;;;;1085;Frame Side Rail (лонжерон)
BODY-FLOOR;FLOOR;;;;;66;Body Floor
BODY-MOULD;BODY&MOULDING;;;;;1005;Body moulding set - не е Quarter Panel
TAIL-BODY;BODY;;;;;901;Quarter Panel
TANK-PANEL;TANK;PANEL;;;;901;Quarter Panel
DOOR-STEP;STEP;DOOR;;;;1344;Entry threshold
CHARGING-DOOR;COVER;DOOR;;OUTER;;60604;Charging port cover (EV)
FUEL-DOOR;TANK;DOOR;;;;60604;Fuel Filler Flap
STIFF-STEP;STIFFENER&STEP;BUMPER;;;;1566;Bumper stiffener с step в описанието
GRILLE-STEP;GRILLE&STEP;BUMPER;;;;244;Bumper grille step panel
BUMPER-STEP;STEP;BUMPER;;;;1510;Foot/Running Board (bumper step)
PANEL-CVR-FRONT;COVER;PANEL;;FRONT;;208;Front upper panel cover
FENDER-COVER;COVER;FENDER;;;;1560;Inner fender cover / liner
RAD-PROT-CVR;COVER;;RADIATOR;;;1508;Radiator protective cover
ENG-COVER;COVER;;ENGINE;;;4256;Engine Cover
WHEEL-COVER;COVER;WHEEL;;;;1436;Cover, wheels
UNDERBODY-CVR;COVER;UNDERBODY;;;;4624;Engine guard/skid plate (underbody cover)
BUMPER-COVER;COVER;BUMPER;;;;938;Bumper cover
BUMPER-STAY;STAY;BUMPER;;;;939;Bumper stay/holder
SILL-COVER;COVER;DOOR+SILL;;;;1344;Door sill cover
SEAL-HOOD;SEAL;HOOD;;;;4211;Seal, bonnet
HOOD-LATCH-SUPP;;;;;HOODLATCH;1566;Support, bumper (hood latch)
INSULATOR-HOOD;INSULATOR;HOOD;;;;1353;Hood/bonnet insulation
