category;descr_raw;genart_id;note
ORIGINAL HYUNDAI KAT 27;FRONT CHASSY (O);1085;Frame Side Rail
ORIGINAL HYUNDAI KAT 27;FRONT CHASSIS (O);1085;Frame Side Rail
ORIGINAL HYUNDAI KAT 27;MEMBER ASSY FRONT SIDE (O);1085;Frame Side Rail
ORIGINAL HYUNDAI KAT 27;REAR DOOR 5X (W/O HOLE CYLINDER/KEY);530;Door body (w/o keyhole)
ORIGINAL HYUNDAI KAT 27;TAIL GATE (W/HOLE FOR CYLINDER/KEY);390;Tailgate (w/keyhole)
ORIGINAL HYUNDAI KAT 27;FRONT BUMP SUPP UPPER (O);1508;Cover, radiator grille
ORIGINAL HYUNDAI KAT 27;FRONT GUARD UPPER (O);473;Holder, radiator grille
PANELS-INNER FENDERS & ECT.;FRONT CHASSIS;1085;Frame Side Rail
PANELS-INNER FENDERS & ECT.;FRONT CHASSIS (EUROPE);1085;Frame Side Rail
PANELS-INNER FENDERS & ECT.;FRONT CHASSIS (O);1085;Frame Side Rail
PANELS-INNER FENDERS & ECT.;REAR CHASSIS;1085;Frame Side Rail
PANELS-INNER FENDERS & ECT.;FRONT CHASSIS COVER;4624;Engine guard/front chassis cover
PANELS-INNER FENDERS & ECT.;PANEL CORNER FRAME WINDSCREEN;203;Windscreen frame corner
1802 - GROUP FIAT KAT 28;MODEL MARK (O);4221;Emblem
1802 - GROUP FIAT KAT 28;MODEL MARK 2003-2007 (O);4221;Emblem
1802 - GROUP FIAT KAT 28;MODEL MARK FRONT -2007 (O);4221;Emblem
1802 - GROUP FIAT KAT 28;MODEL MARK REAR 2008- (O);4221;Emblem
1802 - GROUP FIAT KAT 28;MARK (O);4221;Emblem
ISOFIX;COVER ISOFIX BLACK;61888;Cover, ISOFIX
ORIGINAL KIA KAT 27;FRONT UPPER PANEL BRACKET (O);473;Holder, radiator grille
REAR LAMPS FOG/REVERSE/REFLECTOR/LICENCE/BRAKE;3D STOP LAMP 2006- LED (E);1428;Third stop lamp (LED)
SAFETY ITEM;WARNING TRIANGLE;995;Warning Triangle
SAFETY ITEM;SAFETY TRIANGLE (E);995;Warning Triangle
SAFETY ITEM;FIRST AID KIT;3782;First Aid Box
1802 - GROUP FIAT KAT 20;HOOD RELEASE HANDLE INNER (O);3220;Handle, bonnet release
DOOR SWITCHS OTHER;FUEL CAP SWITCH BUTTON (3PIN);4270;Switch, fuel filler flap release
ORIGINAL STOCK;RACK ASSY ROOF SAMPAIGN (LH) (O);127;Roof Rack
PANELS-INNER FENDERS & ECT.;SIDE WALL PANELS KINW/S.L.HOLE (40CM);901;Side wall repair panel
DOOR SWITCHS OTHER;MULTIPLE SWITCH (HANDBRAKE-ESP-AUTO HOLD)(24PIN);6166;Multi-Function Switch
DOOR SWITCHS OTHER;MULTIPLE SWITCH (HANDBRAKE-ESP-AUTO HOLD-START/STOP ENGINE) (26PIN);6166;Multi-Function Switch
DOOR SWITCHS OTHER;MULTIPLE SWITCH (HANDBRAKE-ESP-AUTO HOLD) (26PIN);6166;Multi-Function Switch
REAR LAMPS FOG/REVERSE/REFLECTOR/LICENCE/BRAKE;REAR BUMPER LAMP;391;Tail Light Assembly
ORIGINAL STOCK;A/C COMPRESSOR (O);447;Compressor, air conditioning
REAR LAMPS FOG/REVERSE/REFLECTOR/LICENCE/BRAKE;LICENCE PLATE LAMP 2010-;293;Licence Plate Light
REAR LAMPS FOG/REVERSE/REFLECTOR/LICENCE/BRAKE;LICENCE PLATE LAMP 2011-;293;Licence Plate Light
REAR LAMPS FOG/REVERSE/REFLECTOR/LICENCE/BRAKE;LICENCE PLATE LAMP (H/B);293;Licence Plate Light
REAR LAMPS FOG/REVERSE/REFLECTOR/LICENCE/BRAKE;REAR BUMPER REFLECTOR (TWIN TAIL GATE);1093;Reflector
REAR LAMPS FOG/REVERSE/REFLECTOR/LICENCE/BRAKE;FOG LAMP REAR  (E);291;Rear Fog Lamp
DOOR SWITCHS OTHER;TRUNK LID SWITCH BUTTON (SDN/S.W.) (2 PIN);5883;Switch, tailgate release
DOOR SWITCHS OTHER;SWITCH CRUISE CONTROL (3pin);878;Switch, cruise control
DOOR SWITCHS OTHER;HANDBRAKE SWITCH & AUTO HOLD AUTOMATIC (11pin);5103;Switch, park brake actuation
DOOR SWITCHS OTHER;TRUNK LID OPEN HANDLE COMPLETE (W/FRAME & 2 LICENCE PLATE LAMPS) (3pin);1373;Handle, tailgate (w/lamp frame)
PANELS-INNER FENDERS & ECT.;SLIDING DOOR PANEL LOWER INNER (LENGTH: 142cm);530;Door, body (sliding door inner panel)
VARIOUS PLASTIC PARTS;TRAY ASSY - BATTERY;52;Battery Holder
1802 - GROUP FIAT KAT 20;WIPPER WASHER TANK (O);837;Washer Fluid Tank
1802 - GROUP FIAT KAT 20;AUXILIARY TANK (O);397;Coolant Expansion Tank
VARIOUS PLASTIC PARTS;SUPPORT PLASTIC COVER WINDOW;1558;Cover, front apron
